Kata,Frekuensi
pencitraan,12
boneka,12
kejujuran,12
opung,12
kepemimpinan,12
berdua,12
abang,12
strategi,12
lumbung,12
every,12
kepolisian,11
buronan,11
dikasih,11
e,11
pemilu,11
sahroni,11
wajahnya,11
kroninya,11
pki,11
rijal,11
vonis,11
cuan,11
kerok,11
hajar,11
lembong,11
luas,11
keuntungan,11
merubah,11
kosong,11
garong,11
gaya,11
penjarakan,11
institusi,11
atasan,11
situ,11
capres,11
belok,11
ulah,11
ujungnya,11
lucu,11
nusantara,11
kroni,11
cendana,11
mengadili,11
rezim,11
mentah,11
murah,11
gratis,11
hama,11
kontrak,11
marah,11
golkar,11
moga,11
best,11
jaringan,11
mantab,11
super,11
listrik,11
bangga,11
mul,11
turunan,11
merata,11
mustahil,11
pengkhianat,11
polos,11
diambil,11
konstitusi,11
mahfudz,11
sedih,11
o,11
pembicaraan,11
perintah,11
ijin,11
membantu,11
membrantas,11
basmi,11
memimpin,11
tujuan,11
mpud,11
people,11
from,11
azab,10
pegawai,10
kapok,10
wkwk,10
baswedan,10
dimasa,10
oplosan,10
setan,10
bersalah,10
buang,10
besi,10
nyaman,10
entar,10
aliran,10
mengalir,10
nikel,10
tom,10
biadab,10
ruang,10
ikn,10
beratnya,10
ditakuti,10
mudahan,10
bela,10
pasukan,10
bensin,10
rampok,10
seberat,10
money,10
tentara,10
jejak,10
jelata,10
tamak,10
pendemo,10
belajar,10
menyusahkan,10
anti,10
pekerja,10
meraja,10
menilai,10
merampok,10
tatanan,10
suci,10
bro,10
banyaknya,10
produksi,10
kesalahan,10
diperiksa,10
dikuasai,10
goblin,10
audit,10
sri,10
memikirkan,10
malas,10
kayanya,10
pur,10
penjilat,10
komisaris,10
gerombolan,10
soeharto,10
perbaiki,10
ilegal,10
dinegeri,10
rocky,10
dianggap,10
ilmu,10
berdoa,10
budaya,10
karma,10
menit,10
dipecat,10
obrolan,10
olah,10
pembangunan,10
sahabat,10
etika,10
sikap,10
tunduk,10
antartika,10
iman,10
berhadapan,10
that,10
kuatnya,10
kewarganegaraan,10
gusdur,10
bobroknya,10
salahkan,10
hancurkan,10
abolisi,10
merajalela,10
mendoakan,10
septa,10
pelakunya,9
dorrrr,9
menangkapnya,9
bank,9
senantiasa,9
bejat,9
tajam,9
buru,9
penangkapan,9
ayam,9
sidang,9
anjing,9
tupai,9
rahasia,9
dinegara,9
gantung,9
singapore,9
silakan,9
konten,9
akal,9
layak,9
memakai,9
mahasiswa,9
priode,9
dirut,9
panggil,9
kagak,9
minimal,9
sandiwara,9
tetangga,9
rusuh,9
abah,9
hadapi,9
profesional,9
pl,9
pantang,9
panggung,9
habisi,9
peduli,9
meninggalkan,9
penakut,9
korea,9
dor,9
arah,9
berbahaya,9
bentuk,9
beking,9
seram,9
bisnisnya,9
berpihak,9
kondisi,9
senjata,9
menyengsarakan,9
berdasi,9
orde,9
perbaikan,9
total,9
tutup,9
penyakit,9
pt,9
kapal,9
spbu,9
merugi,9
lengser,9
nyawa,9
mesti,9
kritik,9
bara,9
menampak,9
becus,9
baca,9
top,9
mentrinya,9
ragu,9
mafianya,9
biaya,9
cek,9
menjadikan,9
guru,9
hidupnya,9
merasakan,9
alat,9
semesta,9
api,9
selamatkan,9
bapa,9
beban,9
lingkungan,9
bandar,9
menjalankan,9
saksi,9
integritas,9
kopasus,9
mafud,9
tulus,9
tekanan,9
merampas,9
pancasila,9
teriak,9
pln,9
rayat,9
arus,9
sifat,9
menyalahkan,9
lainya,9
indah,9
probowo,9
kehancuran,9
pr,9
koruptornya,9
dewan,9
asset,9
kacau,9
nilai,9
pembohong,9
ucapan,9
jepang,9
live,9
makar,9
yahudi,9
banyuwangi,9
halo,8
hayo,8
kemiskinan,8
dpo,8
subur,8
kekayaannya,8
ham,8
bosnya,8
sanggup,8
kebagian,8
andai,8
widodo,8
nusa,8
memegang,8
laksanakan,8
pertamax,8
adakah,8
baalawi,8
cabut,8
pegang,8
hukumnya,8
sipil,8
tv,8
rendah,8
bocor,8
kong,8
buron,8
kantor,8
l,8
target,8
kaum,8
benaran,8
jerat,8
bea,8
edy,8
sebenar,8
kehidupan,8
awas,8
perjuangan,8
mendanai,8
kemajuan,8
online,8
ampun,8
kaya,8
licik,8
aib,8
kerjasama,8
fokus,8
membayar,8
lela,8
sakti,8
jelek,8
giliran,8
sumatera,8
copot,8
semenjak,8
lahan,8
menang,8
awasi,8
industri,8
abadi,8
kompeten,8
anggaran,8
dngn,8
disana,8
titipan,8
tanda,8
selesaikan,8
rencana,8
sebelah,8
doakan,8
keselamatan,8
perlindungan,8
samping,8
esemka,8
pertanyaannya,8
kedepan,8
sisa,8
agama,8
membersihkan,8
salut,8
bahan,8
sia,8
maksud,8
sibuk,8
perekonomian,8
modal,8
lumayan,8
gus,8
pengalaman,8
menengah,8
tertipu,8
kebohongan,8
narasumber,8
tunjukkan,8
pandangan,8
pejuang,8
komen,8
mendengarkan,8
berdiri,8
bergabung,8
astaghfirullah,8
menjerat,8
jonan,8
buta,8
pengaruh,8
membiayai,8
kebusukan,8
nurani,8
segelintir,8
acara,8
ahirnya,8
kalimantan,8
rkyat,8
sosial,8
domba,8
pilihan,8
buktinya,8
menumpas,8
mpr,8
fpi,8
bijak,8
alah,8
penyidik,8
rkyt,8
amnesti,8
allahu,8
hendro,8
alim,8
this,8
must,8
tumpas,8
dame,8
interpol,7
massa,7
tumbuh,7
puan,7
sistim,7
mimpi,7
risa,7
bajingan,7
auto,7
kenyang,7
mengesahkan,7
malaikat,7
surga,7
jatuh,7
dijamin,7
didepan,7
sektor,7
youtube,7
capek,7
miris,7
sda,7
nyali,7
sembunyi,7
teroris,7
ancaman,7
kriminal,7
mewah,7
hatta,7
memperkaya,7
sebentar,7
kerajaan,7
disuruh,7
dipelihara,7
mengancam,7
jakarta,7
aktif,7
berjamaah,7
papua,7
mulu,7
terbayang,7
otomatis,7
rumahnya,7
bantuan,7
bu,7
pindah,7
remisi,7
cukai,7
pemberani,7
pelan,7
tito,7
kawin,7
menuduh,7
inti,7
jatah,7
tegakkan,7
mr,7
we,7
ditunggu,7
rantai,7
saking,7
bingung,7
pasal,7
warisan,7
istri,7
iki,7
adem,7
membunuh,7
turunkan,7
pikiran,7
kerna,7
dibuka,7
stop,7
kursi,7
duluan,7
mafioso,7
seret,7
putra,7
blok,7
menentukan,7
mengikuti,7
mengurangi,7
idola,7
singapur,7
ketegasan,7
dinikmati,7
aslinya,7
panas,7
campur,7
gunanya,7
jajaran,7
singkirkan,7
mengatur,7
ajak,7
mensejahterakan,7
genk,7
smk,7
patut,7
plongo,7
gentar,7
al,7
lelah,7
gubernur,7
kota,7
berbicara,7
angka,7
milyar,7
islam,7
pesan,7
assalamualaikum,7
dur,7
berlaku,7
shg,7
menyuarakan,7
ditangan,7
wawasan,7
bernegara,7
chalik,7
action,7
wilayah,7
hoax,7
berbeda,7
subscribe,7
keburukan,7
dibalik,7
membawa,7
badan,7
penegakan,7
sejati,7
rekaman,7
ulang,7
pembisik,7
kunci,7
informasi,7
solusi,7
pencerahan,7
masya,7
akbar,7
jalur,7
manapun,7
mengerikan,7
tersandera,7
membahas,7
legislatif,7
mengomongkan,7
independen,7
pertanggung,7
politisi,7
dipilih,7
dsb,7
sd,7
dibuang,7
mengatasi,7
kesini,7
hti,7
kdm,7
wi,7
kesatuan,7
beritanya,7
dkk,7
saran,7
waspada,7
knapa,7
dibubarkan,7
membuktikan,7
bersyukur,7
istilah,7
barisan,7
engkau,7
cenderung,7
bacot,7
pion,7
mainan,7
all,7
mustaat,7
ponorogo,7
villages,7
kurop,7
yuk,6
will,6
penderitaan,6
timah,6
serahin,6
versi,6
diungkap,6
sekian,6
sel,6
kompak,6
oke,6
abu,6
disikat,6
rija,6
ribu,6
menyentuh,6
presidenku,6
babi,6
lapar,6
pokok,6
binatang,6
layar,6
kelaparan,6
kepalanya,6
curiga,6
hutan,6
halnya,6
aktor,6
pencuri,6
terjerat,6
baju,6
jamin,6
hubungannya,6
bertanggung,6
revisi,6
jasa,6
holid,6
ta,6
susi,6
b,6
pensiun,6
golongan,6
harto,6
berdaya,6
abdat,6
kabeh,6
biayai,6
dibilang,6
hitamkan,6
jet,6
tunjangan,6
terjang,6
firaun,6
setyo,6
freeport,6
meng,6
supir,6
hapus,6
hubungan,6
optimis,6
pertambangan,6
agus,6
politikus,6
terbawa,6
elite,6
min,6
selagi,6
mengawasi,6
jagan,6
meninggal,6
karyawan,6
anggap,6
kontrol,6
kedaulatan,6
cerdik,6
sdm,6
dibersihkan,6
tubuh,6
budi,6
dzolim,6
dollar,6
peninggalan,6
mengangkat,6
positif,6
berguna,6
mengasih,6
mandiri,6
korop,6
jabatannya,6
bertahan,6
program,6
tukar,6
disingkirkan,6
milyaran,6
malam,6
gelar,6
si,6
usir,6
strategis,6
ternak,6
suaranya,6
bersamamu,6
bupati,6
walikota,6
berwenang,6
haji,6
keamanan,6
setia,6
harapkan,6
biyar,6
wajar,6
simbol,6
kemudahan,6
disemua,6
persen,6
tema,6
penerus,6
orba,6
dipemerintahan,6
banding,6
menarik,6
bermasalah,6
berpengaruh,6
laknat,6
edukasi,6
politiknya,6
memalukan,6
izin,6
hormat,6
seru,6
chanel,6
host,6
bijaksana,6
channel,6
satunya,6
dibutuhkan,6
kecewa,6
pres,6
plus,6
memperbaiki,6
sabang,6
pecatan,6
ter,6
tumpul,6
tida,6
mentalnya,6
video,6
akhlak,6
ganjar,6
pimpin,6
pernyataan,6
bruce,6
lugu,6
menjelekkan,6
berniat,6
pendukungnya,6
murni,6
jkwi,6
teliti,6
benang,6
praktek,6
berdasarkan,6
forum,6
eksekutif,6
ktp,6
menyelamatkan,6
nun,6
sayangnya,6
masif,6
serang,6
ti,6
membubarkan,6
jalankan,6
mbah,6
pertiwi,6
be,6
organisasi,6
yth,6
dirampas,6
september,6
hasto,6
rk,6
negra,6
head,6
puas,6
rimba,6
sitaan,6
badegan,6
barn,6
dorrrrr,5
kadang,5
indonesi,5
kubur,5
kalit,5
ditembak,5
jitu,5
ikan,5
teri,5
menegakkan,5
tahi,5
perminyakan,5
aduh,5
kuasai,5
amit,5
kenal,5
donatur,5
sepandai,5
pandai,5
melompat,5
kambangan,5
asia,5
susahnya,5
kereta,5
pancung,5
ikhlas,5
gass,5
pesimis,5
lho,5
boro,5
ormas,5
diatur,5
harun,5
masiku,5
tega,5
silfester,5
gembong,5
bernyanyi,5
ngibul,5
diberantas,5
netizen,5
gebrakan,5
dilawan,5
tersangkanya,5
kalikong,5
bermoral,5
dibayar,5
khalit,5
tumbang,5
kualitas,5
anjir,5
nongol,5
perasaan,5
terpengaruh,5
mampus,5
bae,5
tsk,5
kalangan,5
berkelakuan,5
menggulingkan,5
lobang,5
peluang,5
roy,5
maksimal,5
info,5
ketidak,5
adilan,5
pengalihan,5
pbb,5
medsos,5
kendaraan,5
naga,5
dah,5
logika,5
tuntutan,5
as,5
jokodok,5
terkaya,5
jarah,5
balas,5
kabar,5
siapkan,5
rela,5
modus,5
jajah,5
kocak,5
membicarakan,5
pastikan,5
